бабушка,мамочка,тетя,папа,мамин,мама
полюбить,обожать,милый,нравиться,уважать,любить
поездка,странствие,путешествовать,приключение,кругосветный,путешествие
много,низко,посредине,лишний,меньший,мало
ноздра,ведомост,взираш,большый,отци,сердец
двести,триста,сорок,пятьдесят,пятьсот,сто
привидение,призрачный,бесплотный,тень,фантом,призрак
барутить,дорикл,ельнот,касильдеть,эгисфов,влюбиться
карлайсла,рочклиф,шестон,тиана,гюмир,винта
судебный,судья,приговор,трибунал,прокурор,суд
кристаллический,кристаллик,минерал,кайбурра,эфирит,кристалл
повариха,поваренок,блюдо,кулинар,кухарка,повар
японец,китайский,кореец,европеец,китай,китаец
коробка,ящичек,шкаф,чемодан,крышка,ящик
как,он,м,к,с,слишком
успевать,стремительно,сразу,медленно,торопливо,быстро
книжечка,записной,книга,журнал,блокнот,книжка
несдобный,испечь,выпекать,булочка,хлебец,выпечка
направиха,доказва,полезнь,описваното,смятам,шансов
лицемерие,вранье,лгать,лживый,обман,ложь
грусть,печаль,тоскливый,отчаяние,уныние,тоска
присяжный,судейский,судебный,приговор,прокурор,судья
братишка,девочка,мама,малышка,елизабета,сестренка
нечаянно,случайный,вероятно,невзначай,кстати,случайно
взлет,рухнуть,крушение,разрушение,гибель,падение
навстречу,взад,повертываться,спина,шаг,вперед
национальный,государство,человечество,национальность,национализм,нация
толстуха,девчушка,блондинка,девочка,девчонка,толстушка
выходить,проход,направляться,вход,выбираться,выход
горничная,служанка,кухарка,домоправительница,хозяйка,экономка
джоллити,рэкетс,клуб,вудлэнд,энд,клаб
точка,рассматривать,мнение,восприятие,считать,зрение
вийнята,хронометр,навкологалактичный,жреб,змонтувать,секунд
выставлять,выставляться,нагота,обозрение,кичиться,напоказ
складской,пакгауз,боеприпасы,л.барбашов,запас,склад
октябрь,декабрь,февраль,январь,сентябрь,ноябрь
самодумов,промоушн,видеорынок,девилы,п.леконт,супермодель
отец,дочь,брат,жена,махалаф,сын
нефтяной,нефтепродукт,баррель,месторождение,нефтеносный,нефть
лакей,камердинер,слуга,горничная,ливрея,дворецкий
фраза,речь,говорить,сказать,произносить,слово
прощание,захотеться,заодно,прочь,хотеться,напоследок
субстанция,ткань,планков,вселенная,атом,материя
состязание,турнирный,соревнование,поединок,чемпионат,турнир
безудержный,неукротимый,обуздывать,неистовый,страсть,необузданный
отличный,плохой,превосходный,неплохой,самый,хороший
испытывать,ощущение,любовь,сознание,жалость,чувство
дискуссия,спорить,диспут,ссора,перепалка,спор
романтика,романтизм,романтик,сентиментальный,поэтический,романтический
навеки,навечно,навек,надолго,отныне,навсегда
парень,мальчишка,пацан,девчонка,ребятишки,ребята
починка,ремонтный,ремонтировать,отремонтировать,починять,ремонт
стрелят,безнадеждна,атентати,разкажеш,дойдатый,типов
лабораторный,институт,исследовательский,эксперимент,лаборант,лаборатория
сам,це,мена,що,як,так
разбрасывать,каргалистый,усеивать,повсюду,виднеться,сям
в,как,он,м,вот,там
воображение,вымысел,бредоподобный,выдумка,мечтание,фантазия
маскарад,бальный,кадриль,званый,вечеринка,бал
игнорир,перфокарточный,считыва,описывай,графич,тура
гастроль,поездка,гастролировать,концерт,вояж,турне
принцип,сформулировать,доктрина,сливер,постулат,кредо
пробиваться,просвечивать,продираться,щель,прорываться,сквозь
кафе,бармен,ресторан,стойка,забегаловка,бар
мой,ваш,пусть,анютушка,пускай,твой
человак,скочевать,односумок,89г,ритолдерол,этой
ненужный,столько,стоить,излишний,хватить,лишний
железовский,мальгин,сверхоборотень,боянов,ромашин,грехов
он,с,в,как,из,этот
застреливать,приканчивать,убийца,погибать,убийство,убивать
2,третий,четвертый,седьмой,пятый,глава
предание,сказание,легендарный,миф,мифический,легенда
сотрудник,заведующий,заместитель,заведовать,начальник,отдел
руил,духочеловек,надэгрегориальный,сверхдуховный,межперсональный,тел
в,из,он,как,с,без
помост,эстрада,пригард,зелмен,мэггота,подиум
послезавтра,назавтра,утро,вечер,вчера,завтра
гсундук,хрбакты,20гр,привал,840м,перекур
ребята,ликута,девчонка,хлопец,красноармейк,девчата
инопланетянин,инопланетный,астронавт,черешин,землянин,инопланетянка
клубный,джоллити,дым,сторкнуть,алкис,клуб
подобосущный,живоначальный,пресвятой,сергиев,антитринитарий,троица
кспир,дминистр,вынить,жбы,мягч,всегда
мальчишка,девочка,парень,девчушка,девушка,девчонка
мобо,войско,армия,жунъян,командование,войска
этор,браво,сбис,кнейшицы,типпины,бис
байт,бита,стоповый,стоповой,00000000,бит
хозяйка,хозяйский,владелец,свой,старик,хозяин
миссис,мисс,джентльмен,джордж,сэр,мистер
обертка,пакет,полиэтиленовый,пакетик,целлофановый,упаковка
отец,дочь,ребенок,родитель,жена,мать
малышка,мальчик,девочка,мальчуган,ребенок,малыш
поезд,пассажирский,станция,курьерский,вагон,экспресс
а90,разведоперация,э.г.козлов,спецпоручение,нетаниягу,спецагент
заместитель,должность,назначать,начальник,капитан,помощник
собираться,оставаться,остальной,который,свой,вместе
тепер,житть,мож,льки,змарнувать,прожить
тома,собр.сочинение,сочинение,книга,издание,том
экономический,промышленность,политика,капитализм,инвестиция,экономика
другой,один,такой,таки,очевидно,тот
свидетельница,показание,свидетельский,обвиняемый,допрашивать,свидетель
неопалимый,несгорающий,едиков,терновый,видобуваться,купина
крестик,распятие,могиндовид,накрест,воздвизальный,крест
гейзенберг,сосновый,резерфорд,цапина,беломошный,бор
четыре,пять,шесть,несколько,два,три
ржаной,ломоть,хлебный,краюха,хлебец,хлеб
герцог,король,принцесса,высочество,королева,принц
сражение,битва,атака,схватка,боевой,бой
родитель,семейство,семейный,ребенок,родственник,семья
лантау,оддель,пауч,камелфорд,бенишие,семью
беспокойство,тревожный,волнение,смятение,опасение,тревога
гром,вспышка,грозовой,раскат,гроза,молния
